Menu Item,Category
Turkey Bacon Ranch,Hot Specialty Subs
Hook & Ladder,Hot Specialty Subs
Italian,Hot Specialty Subs
Firehouse Meatball,Hot Specialty Subs
Sweet & Spicy Meatball,Hot Specialty Subs
Smokehouse beef & cheddar brisket ,Hot Specialty Subs
New York Steamer,Hot Specialty Subs
Club on a Sub,Hot Specialty Subs
Firehouse Steak & Cheese,Hot Specialty Subs
Engineer ,Hot Specialty Subs
Firehouse Hero,Hot Specialty Subs
Smoked Turkey Breast,Build Your Own Sub
Pastrami,Build Your Own Sub
Premium Roast Beef,Build Your Own Sub
Corned Beef Brisket,Build Your Own Sub
Grilled Chicken Breast,Build Your Own Sub
Veggie,Build Your Own Sub
Tuna Salad,Build Your Own Sub
Italian with Grilled Chicken Salad,Salads
Firehouse Salad ,Salads
Hook & Ladder Salad,Salads