Year,Name,RelativePopularity,YoY_Pct_Growth
2004,Blimpie,1.3,0.0
2005,Blimpie,1.8,31.0
2006,Blimpie,1.3,-28.999999999999996
2007,Blimpie,0.9,-27.0
2008,Blimpie,1.1,18.0
2009,Blimpie,1.2,8.0
2010,Blimpie,0.9,-21.0
2011,Blimpie,1.3,45.0
2012,Blimpie,1.2,-12.0
2013,Blimpie,1.2,0.0
2014,Blimpie,1.3,7.000000000000001
2015,Blimpie,0.9,-27.0
2016,Blimpie,1.0,9.0
2017,Blimpie,1.0,0.0
2018,Blimpie,1.0,0.0
2019,Blimpie,1.1,8.0
2020,Blimpie,1.0,-8.0
2021,Blimpie,1.0,0.0
2022,Blimpie,1.0,0.0
2004,Firehouse Subs,0.8,0.0
2005,Firehouse Subs,0.5,-40.0
2006,Firehouse Subs,1.4,183.0
2007,Firehouse Subs,1.4,0.0
2008,Firehouse Subs,1.8,24.0
2009,Firehouse Subs,3.1,76.0
2010,Firehouse Subs,3.8,22.0
2011,Firehouse Subs,5.1,36.0
2012,Firehouse Subs,7.3,43.0
2013,Firehouse Subs,8.8,21.0
2014,Firehouse Subs,11.9,36.0
2015,Firehouse Subs,13.8,16.0
2016,Firehouse Subs,15.4,11.0
2017,Firehouse Subs,15.1,-2.0
2018,Firehouse Subs,14.2,-6.0
2019,Firehouse Subs,14.6,3.0
2020,Firehouse Subs,16.3,12.0
2021,Firehouse Subs,17.6,8.0
2022,Firehouse Subs,16.5,-6.0
2004,Jason's Deli,0.4,0.0
2005,Jason's Deli,1.3,200.0
2006,Jason's Deli,1.8,47.0
2007,Jason's Deli,1.8,-5.0
2008,Jason's Deli,1.9,10.0
2009,Jason's Deli,1.8,-4.0
2010,Jason's Deli,2.3,23.0
2011,Jason's Deli,4.8,114.99999999999999
2012,Jason's Deli,3.0,-38.0
2013,Jason's Deli,2.5,-17.0
2014,Jason's Deli,2.9,17.0
2015,Jason's Deli,3.0,3.0
2016,Jason's Deli,4.2,39.0
2017,Jason's Deli,2.3,-44.0
2018,Jason's Deli,2.4,4.0
2019,Jason's Deli,2.4,0.0
2020,Jason's Deli,2.0,-17.0
2021,Jason's Deli,1.8,-8.0
2022,Jason's Deli,1.5,-18.0
2004,Jersey Mikes,1.2,0.0
2005,Jersey Mikes,1.1,-7.000000000000001
2006,Jersey Mikes,1.4,31.0
2007,Jersey Mikes,1.8,24.0
2008,Jersey Mikes,2.8,62.0
2009,Jersey Mikes,4.1,44.0
2010,Jersey Mikes,4.9,20.0
2011,Jersey Mikes,7.3,47.0
2012,Jersey Mikes,5.0,-31.0
2013,Jersey Mikes,5.3,5.0
2014,Jersey Mikes,5.5,5.0
2015,Jersey Mikes,5.9,8.0
2016,Jersey Mikes,7.6,28.000000000000004
2017,Jersey Mikes,9.0,19.0
2018,Jersey Mikes,10.1,12.0
2019,Jersey Mikes,11.8,17.0
2020,Jersey Mikes,14.3,20.0
2021,Jersey Mikes,16.3,14.000000000000002
2022,Jersey Mikes,20.5,26.0
2004,Jimmy Johns,1.8,0.0
2005,Jimmy Johns,2.8,62.0
2006,Jimmy Johns,4.1,44.0
2007,Jimmy Johns,5.4,33.0
2008,Jimmy Johns,8.0,48.0
2009,Jimmy Johns,11.3,42.0
2010,Jimmy Johns,20.1,77.0
2011,Jimmy Johns,34.6,72.0
2012,Jimmy Johns,39.9,15.0
2013,Jimmy Johns,41.8,5.0
2014,Jimmy Johns,49.8,19.0
2015,Jimmy Johns,47.8,-4.0
2016,Jimmy Johns,53.6,12.0
2017,Jimmy Johns,50.1,-7.000000000000001
2018,Jimmy Johns,44.8,-11.0
2019,Jimmy Johns,45.8,2.0
2020,Jimmy Johns,37.8,-17.0
2021,Jimmy Johns,39.3,4.0
2022,Jimmy Johns,50.0,27.0
2004,Potbelly Sandwich,0.8,0.0
2005,Potbelly Sandwich,0.4,-44.0
2006,Potbelly Sandwich,0.3,-40.0
2007,Potbelly Sandwich,0.3,33.0
2008,Potbelly Sandwich,0.5,50.0
2009,Potbelly Sandwich,0.0,-100.0
2010,Potbelly Sandwich,0.0,0.0
2011,Potbelly Sandwich,0.3,0.0
2012,Potbelly Sandwich,0.4,67.0
2013,Potbelly Sandwich,0.8,80.0
2014,Potbelly Sandwich,0.7,-11.0
2015,Potbelly Sandwich,0.9,38.0
2016,Potbelly Sandwich,1.0,9.0
2017,Potbelly Sandwich,1.1,8.0
2018,Potbelly Sandwich,1.0,-8.0
2019,Potbelly Sandwich,1.0,0.0
2020,Potbelly Sandwich,0.9,-8.0
2021,Potbelly Sandwich,1.1,18.0
2022,Potbelly Sandwich,1.0,-8.0
2004,Quiznos,17.7,0.0
2005,Quiznos,16.0,-9.0
2006,Quiznos,18.6,16.0
2007,Quiznos,21.4,15.0
2008,Quiznos,21.4,0.0
2009,Quiznos,25.2,18.0
2010,Quiznos,19.1,-24.0
2011,Quiznos,20.6,8.0
2012,Quiznos,17.0,-17.0
2013,Quiznos,13.6,-20.0
2014,Quiznos,9.5,-30.0
2015,Quiznos,7.7,-19.0
2016,Quiznos,6.0,-22.0
2017,Quiznos,5.2,-14.000000000000002
2018,Quiznos,4.9,-5.0
2019,Quiznos,4.3,-12.0
2020,Quiznos,3.7,-15.0
2021,Quiznos,3.5,-5.0
2022,Quiznos,4.0,14.000000000000002
2004,Schlotzsky's,0.3,0.0
2005,Schlotzsky's,0.3,0.0
2006,Schlotzsky's,0.2,-50.0
2007,Schlotzsky's,0.2,0.0
2008,Schlotzsky's,0.0,-100.0
2009,Schlotzsky's,0.0,0.0
2010,Schlotzsky's,0.0,0.0
2011,Schlotzsky's,0.1,0.0
2012,Schlotzsky's,0.1,0.0
2013,Schlotzsky's,0.0,-100.0
2014,Schlotzsky's,0.0,0.0
2015,Schlotzsky's,0.0,0.0
2016,Schlotzsky's,0.1,0.0
2017,Schlotzsky's,1.0,1100.0
2018,Schlotzsky's,0.8,-17.0
2019,Schlotzsky's,1.3,50.0
2020,Schlotzsky's,1.0,-20.0
2021,Schlotzsky's,0.0,-100.0
2022,Schlotzsky's,0.0,0.0
2004,Subway,17.9,0.0
2005,Subway,19.8,10.0
2006,Subway,20.1,2.0
2007,Subway,23.1,15.0
2008,Subway,26.8,16.0
2009,Subway,29.7,11.0
2010,Subway,34.4,16.0
2011,Subway,48.4,41.0
2012,Subway,50.8,5.0
2013,Subway,51.8,2.0
2014,Subway,53.8,4.0
2015,Subway,60.8,13.0
2016,Subway,55.8,-8.0
2017,Subway,59.3,6.0
2018,Subway,57.2,-4.0
2019,Subway,63.7,11.0
2020,Subway,57.3,-10.0
2021,Subway,67.6,18.0
2022,Subway,78.0,15.0
2004,Which Wich,0.0,0.0
2005,Which Wich,0.0,0.0
2006,Which Wich,0.0,0.0
2007,Which Wich,0.0,0.0
2008,Which Wich,0.6,0.0
2009,Which Wich,0.8,28.999999999999996
2010,Which Wich,0.9,22.0
2011,Which Wich,2.0,118.0
2012,Which Wich,2.4,21.0
2013,Which Wich,2.4,0.0
2014,Which Wich,2.8,14.000000000000002
2015,Which Wich,3.7,33.0
2016,Which Wich,3.6,-2.0
2017,Which Wich,3.6,0.0
2018,Which Wich,3.3,-9.0
2019,Which Wich,3.3,0.0
2020,Which Wich,2.3,-31.0
2021,Which Wich,1.9,-15.0
2022,Which Wich,1.0,-48.0
